YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,93,113,139,100,72,96,144
2026/01/10,52,33,41,31,21,17,28,23,66,67,38,42,103,128,71,81,41,29,39,65,60,53,53,210
2026/01/11,79,37,27,13,4,7,15,23,39,76,65,67,57,64,87,503,551,262,152,118,70,70,43,52
2026/01/12,41,35,31,8,11,27,17,13,31,25,36,46,39,25,23,16,22,21,16,46,55,38,36,34
2026/01/13,90,14,11,4,6,13,12,18,19,17,21,15,22,16,6,9,10,18,12,17,27,24,16,18
2026/01/14,12,5,1,2,3,8,6,19,25,11,15,16,15,8,4,1,4,6,12,16,14,19,41,27
2026/01/15,10,6,4,0,1,9,6,10,17,5,4,6,19,4,9,3,6,3,6,7,12,20,17,36
2026/01/16,10,3,2,2,1,11,10,6,21,7,4,9,12,4,7,4,9,8,8,4,11,78,48,34
2026/01/17,1,4,1,8,5,10,6,8,12,25,12,5,20,11,9,7,9,11,9,7,12,16,5,9
2026/01/18,9,6,4,6,0,6,2,7,7,17,7,5,3,5,3,8,5,10,23,8,5,14,12,14
2026/01/19,9,2,2,1,6,16,29,23,12,12,21,8,18,8,2,8,8,10,9,14,17,20,17,28
2026/01/20,32,3,4,3,1,7,10,14,21,8,14,10,13,10,5,0,4,9,6,9,11,15,10,8
2026/01/21,6,2,4,3,7,6,8,17,22,9,6,6,4,6,3,4,4,2,10,21,29,9,14,15
2026/01/22,8,14,4,4,1,10,5,16,12,5,1,1,7,5,0,0,0,0,0,0,0,0,0,0
