YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,10,5
2026/01/08,5,0,0,1,0,1,0,2,2,0,1,0,1,2,2,5,3,5,2,1,1,5,4,6
2026/01/09,1,1,0,0,2,0,0,0,0,0,0,1,0,3,1,0,1,2,2,5,2,4,5,3
2026/01/10,1,1,0,0,0,0,1,3,2,1,0,4,4,1,1,3,1,1,2,2,1,204,145,70
2026/01/11,43,21,8,1,11,9,12,10,3,8,7,15,19,11,7,4,11,6,12,4,1,6,1,8
2026/01/12,3,7,7,4,0,0,0,0,1,0,2,3,5,1,2,3,3,0,2,2,0,3,3,1
2026/01/13,13,2,0,0,2,1,3,1,2,4,4,2,0,0,0,2,5,4,10,8,9,5,7,2
2026/01/14,2,2,2,0,0,0,0,1,1,0,1,2,6,3,0,0,2,0,0,0,2,1,4,6
2026/01/15,4,3,5,0,1,0,0,8,1,2,2,1,2,2,1,4,0,0,3,3,2,5,1,2
2026/01/16,5,3,2,1,2,1,4,2,0,2,1,0,0,3,1,2,1,2,2,2,0,3,2,1
2026/01/17,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,2,0,82,228,88,55,47,36,15
2026/01/18,11,10,7,4,6,2,6,4,5,10,5,8,4,6,3,5,3,4,4,7,5,2,5,0
2026/01/19,1,1,4,0,1,1,2,2,2,0,3,0,2,0,0,1,3,1,1,1,0,5,3,5
2026/01/20,3,2,0,0,0,2,0,2,0,0,0,2,2,0,5,0,0,0,2,2,4,2,3,3
2026/01/21,1,0,1,0,0,0,1,0,1,0,6,1,3,2,0,1,0,4,1,0,0,0,0,0
