YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/08,1,2,0,1,0,2,0,0,0,1,0,0,2,213,120,81,59,55,43,34,31,32,31,23
2026/01/09,11,5,6,4,2,0,9,6,3,8,2,3,5,5,1,4,1,7,6,4,4,3,4,7
2026/01/10,6,1,3,2,0,1,1,3,1,2,3,0,4,1,0,3,0,4,5,2,2,3,1,1
2026/01/11,4,0,2,1,0,0,0,0,0,0,1,3,2,2,0,0,73,243,109,58,46,45,30,28
2026/01/12,22,11,5,7,3,2,3,6,8,5,3,8,8,5,1,4,2,4,6,2,3,4,5,6
2026/01/13,3,1,1,2,3,4,2,1,1,2,3,8,2,5,16,10,4,4,4,6,7,2,4,3
2026/01/14,3,0,1,0,1,0,0,2,1,1,0,3,2,1,6,2,3,140,228,103,64,53,56,19
2026/01/15,30,14,10,8,3,2,7,9,8,13,4,6,22,11,10,6,3,12,11,12,4,212,243,86
2026/01/16,63,12,11,12,9,13,10,14,11,13,15,6,16,5,11,6,5,6,8,7,14,5,2,5
2026/01/17,5,1,1,1,0,1,2,6,4,2,0,1,2,4,1,4,2,4,3,0,3,2,5,1
2026/01/18,5,1,0,0,0,0,0,2,1,2,0,0,3,1,1,0,0,1,4,0,2,4,0,3
2026/01/19,4,1,0,1,2,2,1,1,0,3,0,6,6,1,0,3,3,1,137,55,339,144,105,43
2026/01/20,37,18,11,7,9,13,13,15,8,6,10,6,8,6,4,4,4,5,8,5,7,15,4,8
2026/01/21,8,0,1,1,2,2,3,0,3,4,0,3,2,0,1,0,4,2,2,1,2,4,4,3
2026/01/22,1,2,0,0,0,2,0,1,1,0,5,3,2,4,9,9,8,6,9,6,6,5,6,10
2026/01/23,4,2,0,1,0,1,1,2,3,1,1,0,0,0,2,0,2,2,0,1,6,2,3,1
2026/01/24,2,3,0,0,0,0,0,1,0,1,5,5,5,5,0,5,1,1,0,3,2,2,281,94
2026/01/25,52,37,17,7,13,15,16,23,17,11,13,7,10,10,5,259,129,62,45,32,32,33,22,12
2026/01/26,18,8,18,6,8,3,7,17,9,7,4,1,10,5,13,4,12,14,14,11,16,9,33,8
2026/01/27,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
