YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026/01/08,1,1,0,0,0,0,0,0,0,1,1,1,2,1,0,3,5,14,7,9,6,7,10,7
2026/01/09,3,2,1,0,1,0,1,1,2,2,2,1,3,2,2,3,2,3,1,0,0,1,4,0
2026/01/10,0,0,0,0,0,2,0,3,1,2,2,0,3,1,1,1,2,1,1,1,1,1,1,0
2026/01/11,1,2,2,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,2
2026/01/12,0,1,0,1,0,0,0,1,1,1,0,1,3,23,29,14,9,9,3,10,5,7,6,4
2026/01/13,3,1,1,1,2,1,2,2,0,2,4,0,4,2,0,3,1,4,3,2,1,3,6,3
2026/01/14,2,0,1,2,0,0,0,2,3,1,1,0,9,4,2,1,2,2,3,1,1,2,3,273
2026/01/15,76,24,16,14,11,17,23,23,26,18,9,13,25,13,9,8,6,6,6,7,16,6,12,6
2026/01/16,2,2,4,1,1,1,4,2,5,3,1,1,2,1,0,2,2,6,262,107,65,44,28,16
2026/01/17,1,4,4,9,4,9,2,7,9,9,3,3,6,4,6,5,3,2,2,3,7,5,3,7
2026/01/18,6,1,2,0,1,0,0,3,1,3,4,1,1,2,0,1,0,4,2,1,1,0,1,0
2026/01/19,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,2,1,1,3,0,2,0,0
2026/01/20,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,3,1,5,0,1,2
2026/01/21,1,0,0,1,2,0,0,0,1,1,0,0,1,0,1,2,1,0,2,1,109,241,114,58
2026/01/22,41,16,10,11,5,11,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
